CONTRACT_ID;CLIENT_ID;TERM;CONTRACT_SUM;GENDER;AGE;LOAN_TO_INCOME;PAYMENT_TO_INCOME;DOWNPAYMENT;CAR_CATEGORY;GRACE_PERIOD;RATE_CHANGE_AFTER_GRACE
17739962;254110;60;1178.1;M;45;11;0.25;0.20;1;6;13
17741051;17525;84;2134.35;M;29;11;0.2;0.20;2;12;1
17749040;254134;18;550.04;M;60;5;0.3;0.70;2;18;15
17751775;254145;12;1410.97;M;54;6;0.49;0.30;2;12;15
17752110;254158;18;572.37;M;60;4;0.2;0.70;2;18;15
17752306;254161;84;1013.32;M;34;17;0.33;0.60;2;12;15
17752354;254163;48;951.66;M;44;8;0.21;0.50;2;0;0
17753422;254175;84;2064.51;M;32;15;0.27;0.10;2;12;2
17753521;254177;84;497.25;F;29;9;0.18;0.80;2;12;15
17753585;254178;84;1776.33;M;29;22;0.42;0.10;2;12;1
17753971;254185;84;2295;M;55;8;0.15;0.80;5;12;2
17757281;254204;60;1982.88;M;53;18;0.42;0.10;2;12;9
17761923;254218;84;2371.5;M;36;26;0.49;0.30;3;12;2
17764004;254222;18;535.5;M;47;6;0.31;0.70;2;18;15
17764233;254225;84;822.68;M;26;7;0.14;0.30;1;12;1
17764554;254228;18;572.37;M;41;7;0.38;0.70;2;18;15
17766028;254240;48;1432.85;M;51;17;0.42;0.10;2;0;0
17766425;254242;84;841.5;F;47;13;0.26;0.60;2;12;1
17766973;254251;84;1827.36;F;29;19;0.37;0.10;2;12;1
17771113;254273;60;1938.82;F;40;17;0.38;0.10;2;6;13
17777713;254278;84;1147.5;F;44;8;0.14;0.50;2;12;2
17778913;254284;84;979.2;M;53;13;0.24;0.50;2;12;1
17780202;254287;84;1912.5;M;30;22;0.41;0.20;2;12;2
17787483;254319;12;1346.93;M;37;2;0.18;0.70;3;12;15
17790411;254339;60;1567.71;M;29;10;0.23;0.10;2;6;13
17790745;254343;48;1808.69;M;47;18;0.45;0.10;2;0;0
17793790;254346;60;1205.56;M;28;18;0.42;0.10;1;0;0
17794613;254353;60;1585.08;M;33;12;0.27;0.10;2;6;13
17795930;254385;18;765;F;45;7;0.41;0.80;3;18;15
17807552;254436;60;1565.96;M;36;15;0.34;0.10;2;6;13
17807627;254437;60;1981.35;F;45;16;0.36;0.10;2;6;13
17818042;56048;84;4228.15;M;38;5;0.1;0.30;4;12;1
17823447;254563;84;1667.7;M;51;17;0.33;0.60;3;12;15
17831388;254576;60;1453.5;M;39;17;0.4;0.20;2;6;13
17832542;254585;12;1554.47;M;35;6;0.5;0.60;3;12;15
17833164;254592;18;582.93;M;53;7;0.38;0.80;2;18;15
17833576;254597;84;994.5;M;34;10;0.2;0.80;3;12;15
17837263;133444;12;1662.68;F;43;7;0.6;0.60;3;12;15
17837393;254615;60;1313.05;M;41;11;0.26;0.20;2;6;13
17837605;254618;60;1876.55;M;27;15;0.35;0.10;2;6;13
17837693;254620;48;1543.01;M;38;13;0.33;0.20;2;0;0
17846477;254636;48;1515.47;F;46;14;0.35;0.20;2;0;0
17847232;254642;18;594.41;M;56;7;0.38;0.70;2;18;15
17858932;254692;84;2558.16;M;28;10;0.19;0.10;2;0;0
17865751;254725;18;809.47;M;32;8;0.45;0.80;3;18;15
17868087;254736;48;1588.91;F;42;13;0.33;0.20;2;0;0
17868575;254740;12;1530;M;35;6;0.48;0.60;3;12;15
17873318;254761;12;655.22;M;31;6;0.48;0.50;1;12;15
17875431;254763;48;1855.89;M;51;13;0.32;0.10;2;0;0
17875766;254766;18;309.06;M;57;4;0.24;0.80;2;18;15
17875956;254770;18;357.26;M;55;5;0.26;0.30;1;18;15
17877004;254783;18;382.5;M;43;5;0.26;0.80;2;18;15
17881063;254808;48;1779.39;M;32;9;0.23;0.10;2;0;0
17881696;254811;12;1682.01;M;28;5;0.45;0.60;3;12;15
17885916;254827;60;1127.61;F;45;16;0.38;0.50;2;12;9
17885925;254828;60;1006.74;M;42;9;0.21;0.50;2;6;13
17888981;254839;84;1868.67;M;35;8;0.15;0.20;2;12;1
17892768;254859;84;1919.16;M;37;11;0.21;0.10;2;12;1
17892786;101749;12;1521.13;M;69;4;0.33;0.60;3;12;15
17893076;254863;18;765;M;41;7;0.37;0.80;3;18;15
17893350;254868;84;1262.25;M;43;11;0.21;0.50;2;12;1
17893735;254872;60;1014.39;M;57;11;0.24;0.50;2;6;13
17894815;254881;84;2738.7;M;53;26;0.5;0.20;3;12;1
17902383;254913;48;1530;F;42;9;0.22;0.30;2;0;0
17906580;254939;12;919.13;F;57;5;0.45;0.60;2;12;15
17917096;254979;60;1136.03;F;33;8;0.18;0.10;1;12;9
17921549;255015;84;963.82;M;45;10;0.19;0.60;2;12;15
